county,turnout,lindell,demuth,qualls,other,lindell_votes,demuth_votes,qualls_votes,other_votes,is_placeholder
Hennepin,44367,33.1,33.4,23.7,9.8,14685,14819,10515,4348,False
Dakota,26342,34.366,45.854,16.284,3.497,9053,12079,4289,921,False
Washington,21825,37.738,41.742,20.521,0.0,8236,9110,4479,0,False
Anoka,21302,37.3,37.1,23.3,2.3,7946,7903,4963,490,False
St. Louis,16697,53.3,38.9,6.8,1.0,8900,6495,1135,167,False
Olmsted,16584,40.06,34.665,15.085,10.19,6644,5749,2502,1690,False
Ramsey,16417,35.836,40.841,17.718,5.606,5883,6705,2909,920,False
Stearns,15399,33.7,63.0,3.3,0.0,5189,9701,508,0,False
Scott,12062,37.2,33.8,20.9,8.1,4487,4077,2521,977,False
Otter Tail,9286,49.149,38.639,6.607,5.606,4564,3588,613,521,False
Wright,9177,34.0,38.8,27.2,0.0,3120,3561,2496,0,False
Crow Wing,7867,38.5,16.2,17.6,27.7,3029,1274,1385,2179,False
Sherburne,6853,39.252,34.734,19.549,6.465,2690,2380,1340,443,True
Goodhue,6621,40.0,22.9,34.5,2.6,2648,1516,2284,172,False
Carver,6540,35.8,31.8,17.6,14.8,2341,2080,1151,968,False
Itasca,6461,53.0,32.4,14.6,0.0,3424,2093,943,0,False
Morrison,5651,33.866,50.35,15.784,0.0,1914,2845,892,0,False
Blue Earth,5337,37.6,26.1,28.1,8.2,2007,1393,1500,438,False
Rice,5337,37.662,27.672,13.586,21.079,2010,1477,725,1125,False
Freeborn,4667,29.63,15.616,19.72,35.035,1383,729,920,1635,False
Brown,4423,31.9,36.1,17.1,14.9,1411,1597,756,659,False
Isanti,4422,45.8,21.3,21.2,11.7,2025,942,937,517,False
Douglas,4391,37.5,29.6,27.7,5.2,1647,1300,1216,228,False
Kandiyohi,4136,39.7,40.7,19.6,0.0,1642,1683,811,0,False
Winona,4065,42.1,41.4,10.3,6.2,1711,1683,419,252,False
Chisago,3973,48.448,28.328,14.915,8.308,1925,1125,593,330,False
Cass,3887,46.3,28.8,15.8,9.1,1800,1119,614,354,False
Steele,3846,42.3,20.6,33.9,3.2,1627,792,1304,123,False
Le Sueur,3639,36.4,27.7,27.7,8.2,1325,1008,1008,298,False
Beltrami,3594,37.862,27.772,34.366,0.0,1361,998,1235,0,False
Becker,3582,58.1,22.2,7.7,12.0,2081,795,276,430,False
Mower,3525,37.838,23.123,31.231,7.808,1334,815,1101,275,False
Nicollet,3487,46.3,24.9,28.4,0.4,1614,868,990,14,False
Benton,3270,36.5,44.4,10.7,8.4,1194,1452,350,275,False
Polk,3156,33.734,43.644,11.211,11.411,1065,1377,354,360,False
Mille Lacs,2923,55.3,33.3,10.8,0.6,1616,973,316,18,False
Todd,2724,39.0,26.9,34.1,0.0,1062,733,929,0,False
Wabasha,2665,43.756,22.977,28.072,5.195,1166,612,748,138,False
Martin,2601,37.137,22.422,35.936,4.505,966,583,935,117,False
Fillmore,2544,50.851,25.025,16.617,7.508,1294,637,423,191,False
McLeod,2528,47.0,36.5,16.2,0.3,1188,923,410,8,False
Dodge,2506,39.261,35.165,20.38,5.195,984,881,511,130,False
Clay,2502,45.8,30.1,24.1,0.0,1146,753,603,0,False
Aitkin,2484,50.2,22.8,27.0,0.0,1247,566,671,0,False
Hubbard,2426,44.955,19.181,26.773,9.091,1091,465,650,221,False
Meeker,2423,36.5,28.9,19.7,14.9,884,700,477,361,False
Pine,2325,45.1,32.5,21.7,0.7,1049,756,505,16,False
Carlton,2277,32.0,17.7,50.3,0.0,729,403,1145,0,False
Houston,2178,43.756,7.193,41.658,7.393,953,157,907,161,False
Waseca,2177,61.9,19.1,6.3,12.7,1348,416,137,276,False
Redwood,2111,41.9,41.2,1.9,15.0,885,870,40,317,False
Wadena,1871,42.458,37.063,9.491,10.989,794,693,178,206,False
Faribault,1833,43.644,14.815,41.542,0.0,800,272,761,0,False
Sibley,1830,28.5,39.7,31.8,0.0,522,727,582,0,False
Lyon,1816,28.0,47.8,15.4,8.8,508,868,280,160,False
Roseau,1745,44.2,24.8,17.6,13.4,771,433,307,234,False
Nobles,1702,39.1,30.6,22.1,8.2,665,521,376,140,False
Kanabec,1615,42.8,39.9,9.9,7.4,691,644,160,120,False
Lake,1523,67.467,20.22,5.205,7.107,1028,308,79,108,False
Marshall,1450,63.7,27.4,3.8,5.1,924,397,55,74,False
Watonwan,1428,32.7,12.2,51.5,3.6,467,174,735,51,False
Clearwater,1347,67.2,22.4,10.4,0.0,905,302,140,0,False
Jackson,1319,37.3,15.9,39.4,7.4,492,210,520,98,False
Koochiching,1253,39.2,56.8,0.0,4.0,491,712,0,50,False
Rock,1222,34.366,21.978,6.294,37.363,420,269,77,457,False
Murray,1104,42.4,27.7,22.8,7.1,468,306,252,78,False
Pipestone,1088,43.6,13.2,43.2,0.0,474,144,470,0,False
Pope,1078,29.271,20.779,49.95,0.0,316,224,538,0,False
Grant,976,26.8,50.8,22.4,0.0,262,496,219,0,False
Pennington,962,52.0,3.0,45.0,0.0,500,29,433,0,False
Cottonwood,934,43.544,22.623,16.917,16.917,407,211,158,158,False
Renville,911,37.437,31.131,31.431,0.0,341,284,286,0,False
Chippewa,872,34.4,23.4,30.9,11.3,300,204,269,99,False
Yellow Medicine,858,37.0,22.8,18.2,22.0,317,196,156,189,False
Stevens,773,31.3,14.8,31.4,22.5,242,114,243,174,False
Traverse,716,25.2,52.2,16.3,6.3,180,374,117,45,False
Lac Qui Parle,711,33.367,63.437,3.197,0.0,237,451,23,0,False
Swift,701,41.8,28.8,20.4,9.0,293,202,143,63,False
Wilkin,688,29.3,40.9,29.8,0.0,202,281,205,0,False
Lake of the Woods,623,21.3,41.6,33.2,3.9,133,259,207,24,False
Cook,603,49.449,37.538,7.207,5.806,298,226,43,35,False
Kittson,575,40.7,12.8,39.9,6.6,234,74,229,38,False
Big Stone,555,36.637,17.217,46.146,0.0,203,96,256,0,False
Norman,546,35.435,28.128,10.31,26.126,193,154,56,143,False
Red Lake,449,17.9,69.8,12.3,0.0,80,313,55,0,False
Mahnomen,393,54.6,7.9,37.5,0.0,215,31,147,0,False
Lincoln,348,32.3,51.9,0.0,15.8,112,181,0,55,False
